regime,n,positive_count,negative_count,metric,reference,method,estimate,ci_low,ci_high,raw_p_value,holm_p_value,valid_bootstrap_replicates,status
undecidable-excluded,4057,28,4029,AUROC,S_C3_Q10,Submitted Full ModelRank,-0.011151295961422614,-0.01676241980199364,-0.0056924765696337466,0.00039996000399960006,0.0023997600239976003,10000,estimable
undecidable-excluded,4057,28,4029,AP,S_C3_Q10,Submitted Full ModelRank,-0.20502728237525858,-0.33131685550335166,-0.10804959967405404,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-excluded,4057,28,4029,Top-1% lift,S_C3_Q10,Submitted Full ModelRank,-31.805749128919864,-47.97634885439764,-13.019897304236203,0.00039996000399960006,0.0027997200279972004,10000,estimable
undecidable-excluded,4057,28,4029,Top-5% lift,S_C3_Q10,Submitted Full ModelRank,-1.4275158339197738,-4.163587848932677,1.289369140314637,0.44615538446155384,1.0,10000,estimable
undecidable-excluded,4057,28,4029,Top-10% lift,S_C3_Q10,Submitted Full ModelRank,0.0,0.0,0.0,1.0,1.0,10000,estimable
undecidable-excluded,4057,28,4029,AUROC,S_C3_Q10,AllTime DerivCount,0.07209339431975315,0.01445405080326779,0.14170201484894596,0.015198480151984802,0.04559544045595441,10000,estimable
undecidable-excluded,4057,28,4029,AP,S_C3_Q10,AllTime DerivCount,-0.086080152240614,-0.20543993372464564,0.017647705214618083,0.11758824117588242,0.26277372262773724,10000,estimable
undecidable-excluded,4057,28,4029,Top-1% lift,S_C3_Q10,AllTime DerivCount,-10.601916376306619,-23.8847771236333,0.0,0.15978402159784022,0.6391360863913609,10000,estimable
undecidable-excluded,4057,28,4029,Top-5% lift,S_C3_Q10,AllTime DerivCount,2.855031667839551,0.0,6.869919950738916,0.10778922107789221,0.6431356864313569,10000,estimable
undecidable-excluded,4057,28,4029,Top-10% lift,S_C3_Q10,AllTime DerivCount,1.4275158339197755,0.30280638901328594,2.8550316678395493,0.04179582041795821,0.2495750424957504,10000,estimable
undecidable-excluded,4057,28,4029,AUROC,S_C3_Q10,Current DerivCount,0.30384622203311706,0.2155662342200813,0.38611324930264973,0.00019998000199980003,0.0013998600139986002,10000,estimable
